episode,episode_reward,eps,step
0.0,0.0,0.9326125000000007,600
1.0,-0.0625,0.8025624999999991,1156
2.0,0.0,0.6725124999999997,1756
3.0,-0.0625,0.5699124999999995,2068
4.0,-0.0625,0.4706875000000005,2638
5.0,0.0,0.33906249999999966,3238
