episode,episode_reward,eps,step
0.0,0.0,0.9326125000000007,600
1.0,0.0,0.7976124999999995,1200
2.0,0.01568826287984848,0.6794874999999982,1650
3.0,0.030312202870845795,0.5940999999999999,1959
